1	46	Amazonas	91
2	46	Antioquia	05
3	46	Arauca	81
4	46	Atlántico	08
5	46	Bogotá	11
6	46	Bolívar	13
7	46	Boyacá	15
8	46	Caldas	17
9	46	Caquetá	18
10	46	Casanare	85
11	46	Cauca	19
12	46	Cesar	20
13	46	Chocó	27
14	46	Córdoba	23
15	46	Cundinamarca	25
16	46	Guainía	94
17	46	Guaviare	95
18	46	Huila	41
19	46	La Guajira	44
20	46	Magdalena	47
21	46	Meta	50
22	46	Nariño	52
23	46	Norte de Santander	54
24	46	Putumayo	86
25	46	Quindío	63
26	46	Risaralda	66
27	46	San Andrés y Providencia	88
28	46	Santander	68
29	46	Sucre	70
30	46	Tolima	73
31	46	Valle del Cauca	76
32	46	Vaupés	97
33	46	Vichada	99
